obs space has init!
Logging to /tmp/openai-2026-06-23-15-00-21-282841
load_state method is deprecated, please use load_variables instead
Step 0: height=0.969, pos_err_local=[0.00162701 0.00010187]
Step 1: height=0.954, pos_err_local=[ 0.02287424 -0.0027225 ]
Step 2: height=0.928, pos_err_local=[ 0.0459805 -0.00592  ]
Step 3: height=0.891, pos_err_local=[ 0.06480752 -0.00989155]
Step 4: height=0.849, pos_err_local=[ 0.07597915 -0.01444984]
Step 5: height=0.809, pos_err_local=[ 0.09021267 -0.01357913]
Step 6: height=0.782, pos_err_local=[ 0.10871306 -0.01091799]
Step 7: height=0.771, pos_err_local=[ 0.12627894 -0.00699691]
Step 8: height=0.771, pos_err_local=[ 0.13982501 -0.00184909]
Step 9: height=0.782, pos_err_local=[0.15032612 0.00267042]
Step 10: height=0.800, pos_err_local=[0.16038579 0.004998  ]
Step 11: height=0.825, pos_err_local=[0.17049856 0.00697734]
Step 12: height=0.855, pos_err_local=[0.17996875 0.01082504]
Step 13: height=0.888, pos_err_local=[0.18823486 0.01648269]
Step 14: height=0.923, pos_err_local=[0.19555279 0.02247206]
Step 15: height=0.957, pos_err_local=[0.19845385 0.01874074]
Step 16: height=0.989, pos_err_local=[0.20163341 0.0147464 ]
Step 17: height=1.016, pos_err_local=[0.20536196 0.01020212]
Step 18: height=1.034, pos_err_local=[0.21016722 0.00471495]
Step 19: height=1.041, pos_err_local=[ 0.21512174 -0.00079676]
Step 20: height=1.037, pos_err_local=[ 0.21976884 -0.0063123 ]
Step 21: height=1.022, pos_err_local=[ 0.22360931 -0.01125776]
Step 22: height=0.998, pos_err_local=[ 0.22547156 -0.01566078]
Step 23: height=0.967, pos_err_local=[ 0.22746708 -0.01911216]
Step 24: height=0.937, pos_err_local=[ 0.23023216 -0.02364266]
Step 25: height=0.914, pos_err_local=[ 0.22927956 -0.03103905]
Step 26: height=0.904, pos_err_local=[ 0.22435909 -0.03871304]
Step 27: height=0.903, pos_err_local=[ 0.21465579 -0.04669807]
Step 28: height=0.911, pos_err_local=[ 0.20108738 -0.05399707]
Step 29: height=0.924, pos_err_local=[ 0.18564717 -0.05983923]
Step 30: height=0.942, pos_err_local=[ 0.16974572 -0.06495231]
Step 31: height=0.960, pos_err_local=[ 0.15380855 -0.0705818 ]
Step 32: height=0.974, pos_err_local=[ 0.13785699 -0.07774519]
Step 33: height=0.981, pos_err_local=[ 0.12195737 -0.08660591]
Step 34: height=0.980, pos_err_local=[ 0.10479598 -0.09635894]
Step 35: height=0.968, pos_err_local=[ 0.08578557 -0.10677467]
Step 36: height=0.945, pos_err_local=[ 0.06541475 -0.11716543]
Step 37: height=0.910, pos_err_local=[ 0.04386566 -0.12716687]
Step 38: height=0.866, pos_err_local=[ 0.02200109 -0.13642907]
Step 39: height=0.816, pos_err_local=[-0.00205227 -0.14608557]
Step 40: height=0.764, pos_err_local=[-0.02982251 -0.15648935]
Step 41: height=0.713, pos_err_local=[-0.0622814  -0.16832914]
Step 42: height=0.665, pos_err_local=[-0.10006686 -0.18299913]
Step 43: height=0.617, pos_err_local=[-0.14324946 -0.20234082]
Step 44: height=0.566, pos_err_local=[-0.19054611 -0.22765245]
Step 45: height=0.508, pos_err_local=[-0.2382824  -0.25878532]
Fell down at step 45! height=0.508
