obs space has init!
Logging to /tmp/openai-2026-06-23-15-02-02-178884
load_state method is deprecated, please use load_variables instead
Step 0: height=0.951, pos_err_local=[6.85545900e-04 1.69207619e-05]
Step 1: height=0.941, pos_err_local=[ 0.01831552 -0.00385255]
Step 2: height=0.920, pos_err_local=[ 0.03611189 -0.00702502]
Step 3: height=0.889, pos_err_local=[ 0.05335495 -0.01063526]
Step 4: height=0.852, pos_err_local=[ 0.06913447 -0.01471419]
Step 5: height=0.818, pos_err_local=[ 0.08265324 -0.01876132]
Step 6: height=0.791, pos_err_local=[ 0.09325004 -0.02231072]
Step 7: height=0.772, pos_err_local=[ 0.10077572 -0.02450224]
Step 8: height=0.760, pos_err_local=[ 0.08808803 -0.02300023]
Step 9: height=0.757, pos_err_local=[ 0.0894465 -0.0254151]
Step 10: height=0.762, pos_err_local=[ 0.08768864 -0.02862944]
Step 11: height=0.776, pos_err_local=[ 0.08293848 -0.03188559]
Step 12: height=0.797, pos_err_local=[ 0.07535053 -0.03500218]
Step 13: height=0.822, pos_err_local=[ 0.0649715  -0.03864594]
Step 14: height=0.852, pos_err_local=[ 0.0517521 -0.0433477]
Step 15: height=0.884, pos_err_local=[ 0.03214346 -0.0581203 ]
Step 16: height=0.915, pos_err_local=[ 0.01041058 -0.07332922]
Step 17: height=0.941, pos_err_local=[-0.01306871 -0.08827509]
Step 18: height=0.957, pos_err_local=[-0.03765115 -0.10218633]
Step 19: height=0.961, pos_err_local=[-0.06286942 -0.1145413 ]
Step 20: height=0.954, pos_err_local=[-0.08815749 -0.12636702]
Step 21: height=0.937, pos_err_local=[-0.11297342 -0.13802191]
Step 22: height=0.909, pos_err_local=[-0.13720459 -0.14999951]
Step 23: height=0.872, pos_err_local=[-0.16148576 -0.16212004]
Step 24: height=0.828, pos_err_local=[-0.1879812  -0.17344814]
Step 25: height=0.777, pos_err_local=[-0.21703248 -0.18478109]
Step 26: height=0.723, pos_err_local=[-0.24966703 -0.19571532]
Step 27: height=0.665, pos_err_local=[-0.28659502 -0.20837181]
Step 28: height=0.598, pos_err_local=[-0.32482624 -0.22387809]
Step 29: height=0.520, pos_err_local=[-0.357722   -0.24267032]
Fell down at step 29! height=0.520
