obs space has init!
Logging to /tmp/openai-2026-06-23-14-58-59-710369
load_state method is deprecated, please use load_variables instead
Step 0: LKnee=-1.268 (ref=-1.731), RKnee=-1.244 (ref=-1.412), local_v=[0.51479554 0.0170151  0.5578112 ]
Step 1: LKnee=-1.325 (ref=-1.594), RKnee=-1.338 (ref=-1.413), local_v=[0.51502152 0.00753652 0.5578112 ]
Step 2: LKnee=-1.410 (ref=-1.454), RKnee=-1.437 (ref=-1.412), local_v=[ 0.51507299 -0.00194462  0.5578112 ]
Step 3: LKnee=-1.472 (ref=-1.365), RKnee=-1.489 (ref=-1.396), local_v=[ 0.51494993 -0.0114251   0.5578112 ]
Step 4: LKnee=-1.431 (ref=-1.362), RKnee=-1.441 (ref=-1.426), local_v=[ 0.51465239 -0.02090171  0.5578112 ]
Step 5: LKnee=-1.408 (ref=-1.361), RKnee=-1.440 (ref=-1.521), local_v=[ 0.51418047 -0.03037123  0.5578112 ]
Step 6: LKnee=-1.437 (ref=-1.363), RKnee=-1.478 (ref=-1.642), local_v=[ 0.51353432 -0.03983047  0.5578112 ]
Step 7: LKnee=-1.491 (ref=-1.366), RKnee=-1.519 (ref=-1.753), local_v=[ 0.51271417 -0.04927621  0.5578112 ]
Step 8: LKnee=-1.521 (ref=-1.368), RKnee=-1.532 (ref=-1.825), local_v=[ 0.51172029 -0.05870525  0.5578112 ]
Step 9: LKnee=-1.524 (ref=-1.372), RKnee=-1.525 (ref=-1.831), local_v=[ 0.51055302 -0.0681144   0.5578112 ]
Step 10: LKnee=-1.518 (ref=-1.372), RKnee=-1.521 (ref=-1.763), local_v=[ 0.50921276 -0.07750048  0.5578112 ]
Step 11: LKnee=-1.505 (ref=-1.367), RKnee=-1.515 (ref=-1.635), local_v=[ 0.50769996 -0.08686029  0.5578112 ]
Step 12: LKnee=-1.481 (ref=-1.361), RKnee=-1.493 (ref=-1.482), local_v=[ 0.50601514 -0.09619067  0.5578112 ]
Step 13: LKnee=-1.457 (ref=-1.356), RKnee=-1.461 (ref=-1.360), local_v=[ 0.50415885 -0.10548846  0.5578112 ]
Step 14: LKnee=-1.450 (ref=-1.351), RKnee=-1.433 (ref=-1.332), local_v=[ 0.50213174 -0.1147505   0.5578112 ]
Step 15: LKnee=-1.458 (ref=-1.405), RKnee=-1.416 (ref=-1.338), local_v=[ 0.49993449 -0.12397366  0.5578112 ]
Step 16: LKnee=-1.472 (ref=-1.557), RKnee=-1.405 (ref=-1.400), local_v=[ 0.51396342 -0.00700266  0.        ]
Step 17: LKnee=-1.486 (ref=-1.679), RKnee=-1.398 (ref=-1.406), local_v=[ 0.51396342 -0.00700266  0.        ]
Step 18: LKnee=-1.505 (ref=-1.782), RKnee=-1.396 (ref=-1.409), local_v=[ 0.51396342 -0.00700266  0.        ]
Step 19: LKnee=-1.529 (ref=-1.838), RKnee=-1.405 (ref=-1.411), local_v=[ 0.51396342 -0.00700266  0.        ]
Step 20: LKnee=-1.553 (ref=-1.831), RKnee=-1.428 (ref=-1.411), local_v=[ 0.51396342 -0.00700266  0.        ]
Step 21: LKnee=-1.565 (ref=-1.759), RKnee=-1.463 (ref=-1.410), local_v=[ 0.51396342 -0.00700266  0.        ]
Step 22: LKnee=-1.566 (ref=-1.636), RKnee=-1.498 (ref=-1.409), local_v=[ 0.51396342 -0.00700266  0.        ]
Step 23: LKnee=-1.574 (ref=-1.494), RKnee=-1.527 (ref=-1.407), local_v=[ 0.51396342 -0.00700266  0.        ]
Step 24: LKnee=-1.600 (ref=-1.388), RKnee=-1.557 (ref=-1.404), local_v=[ 0.51396342 -0.00700266  0.        ]
Step 25: LKnee=-1.640 (ref=-1.372), RKnee=-1.595 (ref=-1.402), local_v=[ 0.51396342 -0.00700266  0.        ]
Step 26: LKnee=-1.691 (ref=-1.383), RKnee=-1.639 (ref=-1.444), local_v=[ 0.51396342 -0.00700266  0.        ]
Step 27: LKnee=-1.757 (ref=-1.392), RKnee=-1.684 (ref=-1.548), local_v=[ 0.51396342 -0.00700266  0.        ]
Step 28: LKnee=-1.842 (ref=-1.399), RKnee=-1.727 (ref=-1.672), local_v=[ 0.51396342 -0.00700266  0.        ]
Fell down at step 28! height=0.648
